,name_of_centre,location_of_centre,type_of_centre,lon,lat
88,Blk 93 Toa Payoh Lorong 4,"Blk 93, Lorong 4 Toa Payoh, S(310093)",MHC,103.8496348,1.3385059
89,Blks 13/14 Haig Road,"Blk 13/14, Haig Road, S(430013/430014)",MHC,103.8954366,1.3151463
90,Blks 160/162 Ang Mo Kio Ave 4,"Blk 160/162, Ang Mo Kio Ave 4, S(560160/560162)",MHC,103.838842,1.37426
91,Blks 1A/ 2A/ 3A Commonwealth Drive,"Blk 1A/ 2A/ 3A, Commonwealth Drive, S(141001/141002/141003)",HC,103.7977741,1.2994684
92,Blks 2 & 3 Changi Village Road,"Blk 2/3, Changi Village Road, S(500002/500003)",MHC,103.9880772,1.389646
93,Blks 20/21 Marsiling Lane,"Blk 20/21, Marsiling Lane, S(730020/730021)",MHC,103.7770039,1.4439625
94,Blks 221 A/B Boon Lay Place,"Blk 221A/B, Boon Lay Place, S(641221/642221)",MHC,103.7124483,1.3461938
95,Blks 22A/B Havelock Road,"Blk 22A/B, Havelock Road, S(161022/162022)",HC,103.8292837,1.2877391
96,Blks 79/79A Circuit Road,"Blk 79/79A, Circuit Road, S(370079/371079)",HC,103.88493,1.3256079
97,Blks 91/92 Whampoa Drive,"Blk 91/92, Whampoa Drive, S(320091/320092)",MHC,103.8538791,1.3231083
98,Chinatown Market,"Blk 335, Smith Street, S(050335)",MHC,103.8430923,1.2825863
99,Chong Pang Market & Food Centre,"Blk 104/105, Yishun Ring Road, S(760104/760105)",MHC,103.8280566,1.4317981
100,Hong Lim Market & Food Centre,"Blk 531A, Upper Cross Street, S(051531)",MHC,103.8458369,1.2853166
101,Kovan Market & Food Centre,"Blk 209, Hougang Street 21, S(530209)",MHC,103.886095,1.359092
102,Pek Kio Market & Food Centre,"Blk 41A, Cambridge Road, S(211041)",MHC,103.849928,1.316263
103,People's Park Food Centre,"Blk 32, New Market Road, S(050032)",HC,103.8425488,1.2850751
104,Tekka Market,"Blk 665, Buffalo Road, S(210665)",MHC,103.8507014,1.3063839
